pokemon_id,catch_code
1,139ddf69-1575-4c0c-9abc-d574f807ec10
2,bf52b549-27f7-464c-929e-8764621ebfc7
3,2b7ed693-99e6-42d8-9696-f274ac8bb744
4,12cb6c06-84c4-426e-9176-dffee576d34a
5,285d9ed9-5c98-490b-a970-a00aed71029e
6,76bc705d-3d5e-4b0d-aa71-da31d4dd2754
7,ae67c8f9-0a26-4658-bead-9e515d8a80f7
8,32bc12f4-35d0-4e40-bd86-a89f04369185
9,faa62162-168f-4cee-915d-4446ddeece24
10,455f0f1d-260b-4cbb-850c-735d455bef0f
11,0fb4f0c3-d76b-4601-ae32-0ccddf8d293c
12,a4b94f7b-14dd-452e-b236-83467363893b
13,0abcdf80-ca27-4c01-acd8-3469d355c9f6
14,7a3ad9ed-d8f2-4ba3-a7ed-99e9b17c29aa
15,ac3cf629-e151-45a6-a328-5af466cb471d
16,0cca164d-2bb8-4de9-b1a5-644811ceebb6
17,67c0ae7f-b08a-4bdd-9200-3f5382110c14
18,0382b982-e9be-49d6-9e80-2e84ef934324
19,e55bc3bd-bc98-4c0c-aafa-3164a65ec4e6
20,ea41991a-c479-44cc-a57d-2d8bda4651ae
21,ed269a12-2b87-42eb-8ea1-57ce420f67db
22,02742da7-3fd5-46cb-85a4-7e57885f1824
23,8acf1ebd-5685-4abb-baf7-de441c53589d
24,494ea3db-2114-4d23-bf0e-345fa4ea11c5
25,a5aa8493-890d-4f3f-8870-582221526730
26,36eefa16-14da-476d-a9c2-21fd619e78fa
27,a5fb9834-f4a0-43e9-9280-80ff1315e9d6
28,6b2e6454-6e4c-49a2-a46b-4802659b32e2
29,3a2c4896-ea32-4bb5-8bb3-ec8b2f269a72
30,6fc4e2a1-2108-4a4d-8fc9-ca390dd43164
31,64e9b13c-3a2e-47b0-9abb-aca1daf76df4
32,412c17dc-4b7b-4843-9a03-f07b7a9ddb4d
33,193ecbd0-5760-4b43-bf24-d17396b933d4
34,f5efafc4-9dad-4915-a10e-d26a3794d1b2
35,331444e7-7a2b-48e3-abe5-74e486b82fb3
36,23197396-5136-45ad-9d60-8d227d8d6174
37,b0de07de-3123-428a-b47f-7fff3d71d9fd
38,d2a94e3a-0412-47d2-a9c5-a0b03c4c5f12
39,1d5e58d0-f316-4b02-b1ce-b7c19218da69
40,41920fb9-57c5-4985-be6b-d39392befb6d
41,ee70cbef-9f1e-4876-b430-65ea1a01980c
42,abab2645-c6f1-42b5-9928-8cd413a747e6
43,87177303-4180-4685-9f7a-9ed4ce0433e9
44,bf1dc468-f484-4738-87e4-cdcc3d6f7501
45,d42c86a5-2647-45de-ae6c-adb69f44f5d3
46,2ddf72ec-32a4-40e3-b6c4-e4d03e4339a2
47,3ff9b1f1-d4f3-4a81-a9cb-10362f894ed3
48,8a43d438-fcd8-48e3-9ccf-7ce49f996c26
49,0579b425-4f23-41fe-8cda-c9182cb429eb
50,8ca9ae57-6d32-449c-8fd3-a2460e2f9ead
51,f218930d-04cb-4693-99cf-0e88fbee6fad
52,49e5c9e8-3f1b-4cb1-b0cf-a8a67d044ef7
53,f9691a8b-ddf6-4c03-b917-a55582c56427
54,64c9486e-4316-435a-a749-065da614150e
55,12ce3d5a-2027-4d5d-9771-b9e726541346
56,f8d7f1f2-65b7-4ba2-a5de-62cb3b449237
57,ee2f3275-3f92-402f-9cb7-3d4aa0b908e6
58,5054d65b-a4de-4d2b-a01f-e6ca22693c63
59,e3a00d48-6b61-4497-ad26-123c4c90ee30
60,48113ae8-7110-4c7e-bd4f-837eb536143e
61,191fd1a5-813f-47cd-9307-c8187c95c276
62,05b9f4d0-0771-4670-81db-5691fdfb09f7
63,d560143f-859d-4650-bc27-09f04887c35d
64,ff01268a-612a-49af-958c-9ebdaeac41cf
65,c31cd046-c75c-43aa-96ab-0c0f146df466
